id,productname,productprice,salespersonid,legalpersonid,developerid,testerid,hrid
2500,Modems,600,23,50,400,35,3
2501,Gaming Coonsoles,700,700,400,7,26,8
2502,Music Players,700,50,7,3,27,3
2503,E-readers,300,400,3,5,28,5
2504,Kindle,500,7,5,100,49,6
2505,Projector,500,3,100,500,459,7
2506,Refrigerator,700,5,500,50,678,4
2507,WashingMachine,500,100,50,30,678,8
2508,Dryers,600,500,30,5,789,3
2509,Ovens,800,50,5,50,697,2
2510,Microwaves,700,30,50,70,457,5
2511,Air Conditioner,300,5,70,20,567,3
2512,Cameras,400,50,20,30,466,7
2513,Drone,500,70,30,23,55,6
2514,Virtual Reality Headsets,400,20,23,700,367,4
2515,Fitness Trackers,200,30,700,50,45,4
2516,Headphones ,100,23,50,50,36,6
2517,Earpods,450,700,400,400,457,8
2518,Blutooth Headphones,670,50,7,7,33,5
2519,Speakers,890,50,3,3,4,3
2520,Power Bank,670,400,5,5,5,5
2521,External Hard Dirves,450,7,100,100,6,5
2522,Printers,340,3,500,500,7,7
2523,Scanners,750,5,50,50,67,3
2524,Proector,670,100,30,30,50,4
2525,Electronic toothbrushes,340,500,5,5,67,7
2526,Pocket cameras,250,50,50,50,46,5
2527,ATM,450,30,70,70,235,2
2528,Sensors,760,5,20,20,670,6
2529,Smartphones,160,50,30,30,457,4
2530,Computer,2000,70,23,23,234,3
2531,Laptop,450,20,700,700,560,8
2532,Wacom Tablet ,125,30,50,50,230,3
2533,Bluetooth Speakers,500,23,50,400,43,5
2534,Television,300,700,400,7,104,6
2535,SmartWatches,400,50,7,3,923,7
2536,Tablet,500,400,3,5,345,4
2537,Video Players,600,7,5,100,230,8
2538,Calculators ,700,3,100,500,456,3
2539,Mobile Phones,700,5,500,50,1,2
2540,Telephone,300,100,50,30,23,5
2541,Landline Phone,500,500,30,5,234,3
2542,Radios,500,50,5,50,45,7
2543,Wakie-Talkies,700,30,50,400,345,6
2544,Routers,500,5,70,7,567,4
2545,Modems,600,50,20,3,409,4
2546,Gaming Coonsoles,800,400,30,5,679,6
2547,Music Players,700,7,23,100,567,8
2548,E-readers,300,3,700,500,67,5
2549,Kindle,400,5,50,50,34,3
2550,Projector,500,100,400,30,54,5
2551,Refrigerator,400,500,7,5,566,5
2552,WashingMachine,200,50,3,50,66,7
2553,Dryers,100,30,5,70,450,3
2554,Ovens,450,5,100,20,345,4
2555,Microwaves,670,50,500,30,456,7
2556,Air Conditioner,890,70,50,23,564,5
2557,Cameras,670,20,30,700,456,2
2558,Drone,450,30,5,50,563,6
2559,Virtual Reality Headsets,340,23,50,400,6,4
2560,Fitness Trackers,750,700,70,7,12,3
2561,Headphones ,670,50,20,3,67,8
2562,Earpods,340,400,30,5,34,3
2563,Blutooth Headphones,250,7,23,100,57,5
2564,Speakers,450,3,700,500,34,6
2565,Power Bank,760,5,50,50,120,7
2566,External Hard Dirves,160,100,50,30,330,4
2567,Printers,2000,500,400,5,23,8
2568,Scanners,450,50,7,50,34,3
2569,Proector,125,30,3,70,56,2
2570,Electronic toothbrushes,500,5,5,20,78,5
2571,Pocket cameras,300,50,100,30,98,3
2572,ATM,400,70,500,23,90,7
2573,Sensors,500,20,50,700,10,6
2574,Smartphones,600,30,30,50,34,4
2575,Computer,700,23,5,50,20,4
2576,Laptop,700,700,50,400,23,6
2577,Wacom Tablet ,300,50,70,7,30,8
2578,Bluetooth Speakers,500,50,20,3,40,5
2579,Television,500,400,30,5,50,3
2580,SmartWatches,700,7,23,100,55,5
2581,Tablet,500,3,700,500,34,5
2582,Video Players,600,5,50,50,45,7
2583,Calculators ,800,100,400,30,35,3
2584,Mobile Phones,700,500,7,5,26,4
2585,Telephone,300,50,3,50,27,7
2586,Landline Phone,400,30,5,70,28,5
2587,Radios,500,5,100,20,49,2
2588,Wakie-Talkies,400,50,500,30,459,6
2589,Routers,200,70,50,23,678,4
2590,Modems,100,20,30,700,678,3
2591,Gaming Coonsoles,450,30,5,50,789,8
2592,Music Players,670,23,50,400,697,3
2593,E-readers,890,700,70,7,457,5
2594,Kindle,670,50,20,3,567,6
2595,Projector,450,400,30,5,466,7
2596,Refrigerator,340,7,23,100,55,4
2597,WashingMachine,750,3,700,500,367,8
2598,Dryers,670,5,50,50,45,3
2599,Ovens,340,100,50,30,36,2
2600,Microwaves,250,500,400,5,457,5
2601,Air Conditioner,450,50,7,50,33,3
2602,Cameras,760,30,3,70,4,7
2603,Drone,160,5,5,20,5,6
2604,Virtual Reality Headsets,2000,50,100,30,6,4
2605,Fitness Trackers,450,70,500,23,7,4
2606,Headphones ,125,20,50,700,67,6
2607,Earpods,500,30,30,50,50,8
2608,Blutooth Headphones,300,23,5,50,67,5
2609,Speakers,400,700,50,400,46,3
2610,Power Bank,500,50,70,7,235,5
2611,External Hard Dirves,600,50,20,3,670,5
2612,Printers,700,400,30,5,457,7
2613,Scanners,700,7,23,100,234,3
2614,Proector,300,3,23,500,560,4
2615,Electronic toothbrushes,500,5,700,50,230,7
2616,Pocket cameras,500,100,50,30,43,5
2617,ATM,700,500,50,5,104,2
2618,Sensors,500,50,400,50,923,6
2619,Smartphones,600,30,7,70,345,4
2620,Computer,800,5,3,20,230,3
2621,Laptop,700,50,5,30,456,8
2622,Wacom Tablet ,300,70,100,23,1,3
2623,Bluetooth Speakers,400,20,500,700,23,5
2624,Television,500,30,50,50,234,6
2625,SmartWatches,400,23,30,400,45,7
2626,Tablet,200,700,5,7,345,4
2627,Video Players,100,50,50,3,567,8
2628,Calculators ,450,400,70,5,409,3
2629,Mobile Phones,670,7,20,100,679,2
2630,Telephone,890,3,30,500,567,5
2631,Landline Phone,670,5,23,50,67,3
2632,Radios,450,100,700,30,34,7
2633,Wakie-Talkies,340,500,50,5,54,6
2634,Routers,750,50,400,50,566,4
2635,Modems,670,30,7,70,66,4
2636,Gaming Coonsoles,340,5,3,20,450,6
2637,Music Players,250,50,5,30,345,8
2638,E-readers,450,70,100,23,456,5
2639,Kindle,760,20,500,700,564,3
2640,Projector,160,30,50,50,456,5
2641,Refrigerator,2000,23,30,50,563,5
2642,WashingMachine,450,700,5,400,6,7
2643,Dryers,125,50,50,7,12,3
2644,Ovens,500,50,70,3,67,4
2645,Microwaves,300,400,20,5,34,7
2646,Air Conditioner,400,7,30,100,57,5
2647,Cameras,500,3,23,500,34,2
2648,Drone,600,5,700,50,120,6
2649,Virtual Reality Headsets,700,100,50,30,330,4
2650,Fitness Trackers,700,500,50,5,23,3
2651,Headphones ,800,50,400,50,34,8
2652,Earpods,300,30,7,70,56,3
2653,Blutooth Headphones,500,5,3,20,78,5
2654,Speakers,500,50,5,30,98,6
2655,Power Bank,700,70,100,23,90,7
2656,External Hard Dirves,500,20,500,700,10,4
2657,Printers,600,30,50,50,34,8
2658,Scanners,800,23,30,400,20,3
2659,Proector,700,700,5,7,23,2
2660,Electronic toothbrushes,300,50,50,3,30,5
2661,Pocket cameras,400,30,70,5,40,3
2662,ATM,500,5,20,100,50,7
2663,Sensors,400,50,30,500,55,6
2664,Smartphones,200,70,23,50,34,4
2665,Computer,100,20,700,30,45,4
2666,Laptop,450,30,50,5,35,6
2667,Wacom Tablet ,670,23,400,50,26,8
2668,Bluetooth Speakers,890,700,7,400,27,5
2669,Television,670,50,3,7,28,3
2670,SmartWatches,450,400,5,3,49,5
2671,Tablet,340,7,100,5,459,5
2672,Video Players,750,3,500,100,678,7
2673,Calculators ,670,5,50,500,678,3
2674,Mobile Phones,340,100,30,50,789,4
2675,Telephone,250,500,5,30,697,7
2676,Landline Phone,450,50,50,5,457,5
2677,Radios,760,30,70,50,567,2
2678,Wakie-Talkies,160,5,20,70,466,6
2679,Routers,2000,50,30,20,55,4
2680,Modems,450,70,23,30,367,3
2681,Gaming Coonsoles,125,20,700,23,45,8
2682,Music Players,500,30,50,700,36,3
2683,E-readers,300,23,50,50,457,5
2684,Kindle,400,700,400,400,33,6
2685,Projector,500,50,7,7,4,7
2686,Refrigerator,600,50,3,3,5,4
2687,WashingMachine,700,400,5,5,6,8
2688,Dryers,700,7,100,100,7,3
2689,Ovens,300,3,500,500,67,2
2690,Microwaves,500,5,50,50,50,5
2691,Air Conditioner,500,100,30,30,67,3
2692,Cameras,700,500,5,5,46,7
2693,Drone,500,50,50,50,235,6
2694,Virtual Reality Headsets,600,30,70,70,670,4
2695,Fitness Trackers,800,5,20,20,457,4
2696,Headphones ,700,50,30,30,234,6
2697,Earpods,300,70,23,23,560,8
2698,Blutooth Headphones,400,20,700,700,230,5
2699,Speakers,500,30,50,50,43,3
2700,Power Bank,400,23,400,50,104,5
2701,External Hard Dirves,200,700,7,400,923,5
2702,Printers,100,50,3,7,345,7
2703,Scanners,450,400,5,3,230,3
2704,Proector,670,7,100,5,456,4
2705,Electronic toothbrushes,890,3,500,100,1,7
2706,Pocket cameras,670,5,50,500,23,5
2707,ATM,450,100,30,50,234,2
2708,Sensors,340,500,5,30,45,6
2709,Smartphones,750,50,50,5,345,4
2710,Computer,670,30,70,50,567,3
2711,Laptop,340,5,20,70,409,8
2712,Wacom Tablet ,250,50,30,20,679,3
2713,Bluetooth Speakers,450,70,23,30,567,5
2714,Television,760,20,700,23,67,6
2715,SmartWatches,160,30,50,700,34,7
2716,Tablet,2000,23,50,50,54,4
2717,Video Players,450,700,400,400,566,8
2718,Calculators ,125,50,7,7,66,3
2719,Mobile Phones,500,50,3,3,450,2
2720,Telephone,300,400,5,5,345,5
2721,Landline Phone,400,7,100,100,456,3
2722,Radios,500,3,500,500,564,7
2723,Wakie-Talkies,600,5,50,50,456,6
2724,Routers,700,100,30,30,563,4
2725,Modems,700,500,5,5,30,4
2726,Gaming Coonsoles,300,50,50,50,40,6
2727,Music Players,500,30,70,70,50,8
2728,E-readers,500,5,20,20,55,5
2729,Kindle,700,50,30,30,34,3
2730,Projector,500,70,23,23,45,5
2731,Refrigerator,600,20,700,700,35,5
2732,WashingMachine,800,30,50,50,26,7
2733,Dryers,700,23,400,50,27,3
2734,Ovens,300,700,7,400,28,4
2735,Microwaves,400,50,3,7,49,7
2736,Air Conditioner,500,400,5,3,459,5
2737,Cameras,400,7,100,5,678,2
2738,Drone,200,3,500,100,678,6
2739,Virtual Reality Headsets,100,5,50,500,789,4
2740,Fitness Trackers,450,100,30,50,697,3
2741,Headphones ,670,500,5,30,457,8
2742,Earpods,890,50,50,5,567,3
2743,Blutooth Headphones,670,30,70,50,466,5
2744,Speakers,450,5,20,70,55,6
2745,Power Bank,340,50,30,20,367,7
2746,External Hard Dirves,750,400,23,30,45,4
2747,Printers,670,7,700,23,36,8
2748,Scanners,340,3,50,700,457,3
2749,Proector,250,5,50,50,33,2
2750,Electronic toothbrushes,450,100,400,400,4,5
2751,Pocket cameras,760,500,7,7,5,3
2752,ATM,160,50,3,3,6,7
2753,Sensors,2000,30,5,5,7,6
2754,Smartphones,450,5,100,100,67,4
2755,Computer,125,50,500,500,50,4
2756,Laptop,500,70,50,50,67,6
2757,Wacom Tablet ,300,20,30,30,46,8
2758,Bluetooth Speakers,400,30,5,5,235,5
2759,Television,500,23,50,50,670,3
2760,SmartWatches,600,700,70,70,457,5
2761,Tablet,700,50,20,20,234,5
2762,Video Players,700,400,30,30,560,7
2763,Calculators ,300,7,23,23,230,3
2764,Mobile Phones,500,3,700,700,43,4
2765,Telephone,500,5,50,50,104,7
2766,Landline Phone,700,100,400,50,923,5
2767,Radios,500,500,7,400,345,2
2768,Wakie-Talkies,600,50,3,7,230,6
2769,Routers,800,30,5,3,456,4
2770,Modems,700,5,100,5,1,3
2771,Gaming Coonsoles,300,50,500,100,23,8
2772,Music Players,400,70,50,500,234,3
2773,E-readers,500,20,30,50,45,5
2774,Kindle,400,30,5,30,345,6
2775,Projector,200,23,50,5,567,7
2776,Refrigerator,100,700,70,50,409,4
2777,WashingMachine,450,50,20,70,679,8
2778,Dryers,670,50,30,20,567,3
2779,Ovens,890,400,23,30,67,2
2780,Microwaves,670,7,700,23,34,5
2781,Air Conditioner,450,3,50,700,54,3
2782,Cameras,340,5,50,50,566,7
2783,Drone,750,100,400,2,66,6
2784,Virtual Reality Headsets,670,500,7,4,450,4
2785,Fitness Trackers,340,50,3,6,345,4
2786,Headphones ,250,30,5,8,456,6
2787,Earpods,450,5,100,10,564,8
2788,Blutooth Headphones,760,50,500,12,456,5
2789,Speakers,160,70,50,14,563,3
2790,Power Bank,2000,20,30,16,6,5
2791,External Hard Dirves,450,30,5,18,12,5
2792,Printers,125,23,50,20,67,7
2793,Scanners,500,700,70,22,34,3
2794,Proector,300,50,20,24,57,4
2795,Electronic toothbrushes,400,400,30,26,34,7
2796,Pocket cameras,500,7,23,28,120,5
2797,ATM,600,3,89,30,330,2
2798,Sensors,700,5,45,32,23,6
2799,Smartphones,700,100,35,34,34,4
2800,Computer,300,500,46,36,56,3
2801,Laptop,500,50,78,38,78,8
2802,Wacom Tablet ,500,30,56,40,98,3
2803,Bluetooth Speakers,700,5,345,42,90,5
2804,Television,500,50,465,44,10,6
2805,SmartWatches,600,70,567,46,34,7
2806,Tablet,800,20,765,48,20,4
2807,Video Players,700,30,879,50,23,8
2808,Calculators ,300,23,555,52,30,3
2809,Mobile Phones,400,700,234,54,40,2
2810,Telephone,500,50,345,56,50,5
2811,Landline Phone,400,50,333,58,55,3
2812,Radios,200,400,234,60,34,7
2813,Wakie-Talkies,100,7,254,62,45,6
2814,Routers,450,3,213,64,35,4
2815,Modems,670,5,346,66,26,4
2816,Gaming Coonsoles,890,100,764,68,27,6
2817,Music Players,670,500,768,70,28,8
2818,E-readers,450,50,423,72,49,5
2819,Kindle,340,30,986,74,459,3
2820,Projector,750,5,999,76,678,5
2821,Refrigerator,670,50,123,78,678,5
2822,WashingMachine,340,70,45,80,789,7
2823,Dryers,250,20,32,82,697,3
2824,Ovens,450,30,78,84,457,4
2825,Microwaves,760,23,45,86,567,7
2826,Air Conditioner,160,700,12,88,466,5
2827,Cameras,2000,50,345,90,55,2
2828,Drone,450,400,123,92,367,6
2829,Virtual Reality Headsets,125,7,100,94,45,4
2830,Fitness Trackers,500,3,125,96,36,3
2831,Headphones ,300,5,135,98,457,8
2832,Earpods,400,100,167,100,33,3
2833,Blutooth Headphones,500,500,175,102,4,5
2834,Speakers,600,50,197,104,5,6
2835,Power Bank,700,30,789,106,6,7
2836,External Hard Dirves,700,5,987,108,7,4
2837,Printers,300,50,678,110,67,8
2838,Scanners,500,70,567,112,50,3
2839,Proector,500,20,453,114,67,2
2840,Electronic toothbrushes,700,30,34,116,46,5
2841,Pocket cameras,500,23,56,118,235,3
2842,ATM,600,700,76,120,670,7
2843,Sensors,800,50,35,122,457,6
2844,Smartphones,700,50,78,124,234,4
2845,Computer,300,400,570,126,560,4
2846,Laptop,400,7,98,128,230,6
2847,Wacom Tablet ,500,3,90,130,43,8
2848,Bluetooth Speakers,400,5,70,132,104,5
2849,Television,200,100,679,134,923,3
2850,SmartWatches,100,500,3,136,345,5
2851,Tablet,450,50,6,138,230,5
2852,Video Players,670,30,8,140,456,7
2853,Calculators ,890,5,5,142,1,3
2854,Mobile Phones,670,50,9,144,23,4
2855,Telephone,450,70,3,146,234,7
2856,Landline Phone,340,20,5,148,45,5
2857,Radios,750,30,2,150,345,2
2858,Wakie-Talkies,670,23,7,152,567,6
2859,Routers,340,700,90,154,409,4
2860,Modems,250,50,120,156,679,3
2861,Gaming Coonsoles,450,400,345,158,567,8
2862,Music Players,760,7,456,160,67,3
2863,E-readers,160,3,678,162,34,5
2864,Kindle,2000,5,347,164,54,6
2865,Projector,450,100,70,166,566,7
2866,Refrigerator,125,500,72,168,66,4
2867,WashingMachine,500,50,48,170,450,8
2868,Dryers,300,30,32,172,345,3
2869,Ovens,400,5,20,174,456,2
2870,Microwaves,500,50,34,176,564,5
2871,Air Conditioner,600,400,45,178,456,3
2872,Cameras,700,7,10,180,563,7
2873,Drone,700,3,11,182,6,6
2874,Virtual Reality Headsets,800,5,15,184,12,4
2875,Fitness Trackers,300,100,19,186,67,4
2876,Headphones ,500,500,4,188,34,6
2877,Earpods,500,50,9,190,57,8
2878,Blutooth Headphones,700,30,6,192,34,5
2879,Speakers,500,5,38,194,120,3
2880,Power Bank,600,50,33,196,330,5
2881,External Hard Dirves,800,70,55,198,23,5
2882,Printers,700,20,78,200,34,7
2883,Scanners,300,30,45,202,56,3
2884,Proector,400,23,26,204,78,4
2885,Electronic toothbrushes,500,700,98,206,98,7
2886,Pocket cameras,400,50,66,208,90,5
2887,ATM,200,400,77,210,10,2
2888,Sensors,100,7,88,212,34,6
2889,Smartphones,450,3,99,214,20,4
2890,Computer,670,5,333,216,23,3
2891,Laptop,890,100,45,218,30,8
2892,Wacom Tablet ,670,500,345,220,40,3
2893,Bluetooth Speakers,450,50,12,222,50,5
2894,Television,340,30,55,224,55,6
2895,SmartWatches,750,5,36,226,34,7
2896,Tablet,670,50,67,228,45,4
2897,Video Players,340,70,23,230,35,8
2898,Calculators ,250,20,700,232,26,3
2899,Mobile Phones,450,30,50,234,27,2
2900,Telephone,760,23,50,236,28,5
2901,Landline Phone,160,700,400,238,49,3
2902,Radios,2000,50,7,240,459,7
2903,Wakie-Talkies,450,50,3,242,678,6
2904,Routers,125,400,5,244,678,4
2905,Modems,500,7,100,246,789,4
2906,Gaming Coonsoles,300,3,500,248,697,6
2907,Music Players,400,5,50,250,457,8
2908,E-readers,500,100,30,252,567,5
2909,Kindle,600,500,5,254,466,3
2910,Projector,700,50,50,256,55,5
2911,Refrigerator,700,30,70,258,367,5
2912,WashingMachine,300,5,20,260,45,7
2913,Dryers,500,50,30,262,36,3
2914,Ovens,500,70,23,264,457,4
2915,Microwaves,700,20,700,266,33,7
2916,Air Conditioner,500,30,50,268,4,5
2917,Cameras,600,23,400,270,5,2
2918,Drone,800,700,7,272,6,6
2919,Virtual Reality Headsets,700,50,3,274,7,4
2920,Fitness Trackers,300,400,5,276,67,3
2921,Headphones ,400,7,100,278,50,8
2922,Earpods,500,3,500,280,67,3
2923,Blutooth Headphones,400,5,50,282,46,5
2924,Speakers,200,100,30,284,235,6
2925,Power Bank,100,500,5,286,670,7
2926,External Hard Dirves,450,50,50,288,457,4
2927,Printers,670,30,70,290,234,8
2928,Scanners,890,5,20,292,560,3
2929,Proector,670,50,30,294,230,2
2930,Electronic toothbrushes,450,70,23,296,43,5
2931,Pocket cameras,340,20,700,298,104,3
2932,ATM,750,30,50,300,923,7
2933,Sensors,670,23,50,302,345,6
2934,Smartphones,340,700,400,304,230,4
2935,Computer,250,50,7,306,456,4
2936,Laptop,450,50,3,308,1,6
2937,Wacom Tablet ,760,400,5,310,23,8
2938,Bluetooth Speakers,160,7,100,312,234,5
2939,Television,2000,3,500,314,45,3
2940,SmartWatches,450,5,50,316,345,5
2941,Tablet,125,100,30,318,567,5
2942,Video Players,500,500,5,320,409,7
2943,Calculators ,300,50,50,322,679,3
2944,Mobile Phones,400,30,70,324,567,4
2945,Telephone,500,5,20,326,67,7
2946,Landline Phone,600,50,30,328,34,5
2947,Radios,700,70,23,330,54,2
2948,Wakie-Talkies,700,20,700,332,566,6
2949,Routers,300,30,50,334,66,4
2950,Modems,500,23,400,336,450,3
2951,Gaming Coonsoles,500,700,7,338,345,8
2952,Music Players,700,50,3,340,456,3
2953,E-readers,500,400,5,342,564,5
2954,Kindle,600,7,100,344,456,6
2955,Projector,800,3,500,346,563,7
2956,Refrigerator,700,5,50,348,560,4
2957,WashingMachine,300,100,30,350,230,8
2958,Dryers,400,500,5,352,43,3
2959,Ovens,500,50,50,354,104,2
2960,Microwaves,400,30,70,356,923,5
2961,Air Conditioner,200,5,20,358,345,3
2962,Cameras,100,50,30,360,230,7
2963,Drone,450,70,23,362,456,6
2964,Virtual Reality Headsets,670,20,700,364,1,4
2965,Fitness Trackers,890,30,50,366,23,4
2966,Headphones ,670,23,50,368,234,6
2967,Earpods,450,700,400,370,45,8
2968,Blutooth Headphones,340,50,7,372,345,5
2969,Speakers,750,50,3,374,567,3
2970,Power Bank,670,400,5,376,409,5
2971,External Hard Dirves,340,7,100,378,679,5
2972,Printers,250,3,500,380,567,7
2973,Scanners,450,5,50,382,67,3
2974,Proector,760,100,30,384,34,4
2975,Electronic toothbrushes,160,500,5,386,54,7
2976,Pocket cameras,2000,50,50,388,566,5
2977,ATM,450,30,70,390,66,2
2978,Sensors,125,5,20,392,450,6
2979,Smartphones,500,50,30,394,345,4
2980,Computer,300,70,23,396,456,3
2981,Laptop,400,20,700,398,564,8
2982,Wacom Tablet ,500,30,50,400,456,3
2983,Bluetooth Speakers,600,23,400,402,563,5
2984,Television,700,700,7,404,6,6
2985,SmartWatches,700,50,3,406,12,7
2986,Tablet,300,5,5,408,67,4
2987,Video Players,500,100,100,410,34,8
2988,Calculators ,500,500,500,412,57,3
2989,Mobile Phones,700,50,50,414,34,2
2990,Telephone,500,30,30,416,120,5
2991,Landline Phone,600,5,5,418,330,3
2992,Radios,800,50,50,420,23,7
2993,Wakie-Talkies,700,70,70,422,34,6
2994,Routers,300,20,20,424,56,4
2995,Modems,400,30,30,426,78,4
2996,Gaming Coonsoles,500,23,23,428,98,6
2997,Music Players,400,700,700,430,90,8
2998,E-readers,200,50,50,432,10,5
2999,Kindle,100,23,50,434,34,3
3000,Projector,450,700,400,436,20,5
3001,Refrigerator,670,50,7,438,23,5
3002,WashingMachine,890,50,3,440,30,7
3003,Dryers,670,400,5,442,40,3
3004,Ovens,450,7,100,444,50,4
3005,Microwaves,340,3,500,446,55,7
3006,Air Conditioner,750,5,50,448,34,5
3007,Cameras,670,100,30,450,45,2
3008,Drone,340,500,5,452,35,6
3009,Virtual Reality Headsets,250,50,50,454,26,4
3010,Fitness Trackers,450,30,70,456,27,3
3011,Headphones ,760,5,20,458,28,8
3012,Earpods,160,50,30,460,49,3
3013,Blutooth Headphones,2000,70,23,462,459,5
3014,Speakers,450,20,700,464,678,6
3015,Power Bank,125,30,50,466,678,7
3016,External Hard Dirves,500,23,400,468,789,5
3017,Printers,300,700,7,470,697,7
3018,Scanners,400,50,3,472,457,3
3019,Proector,500,400,5,474,567,4
3020,Electronic toothbrushes,600,7,100,476,466,7
3021,Pocket cameras,700,3,500,478,55,5
3022,ATM,700,5,50,480,367,2
3023,Sensors,300,100,30,482,45,6
3024,Smartphones,500,500,5,484,36,4
3025,Computer,500,50,50,486,457,3
3026,Laptop,700,30,70,488,33,8
3027,Wacom Tablet ,500,5,20,490,4,3
3028,Bluetooth Speakers,600,50,30,492,5,5
3029,Television,800,70,23,494,6,6
3030,SmartWatches,700,20,700,496,7,7
3031,Tablet,300,30,50,498,67,4
3032,Video Players,400,23,50,500,50,8
3033,Calculators ,500,700,400,502,67,3
3034,Mobile Phones,400,50,7,504,46,2
3035,Telephone,200,50,3,506,235,5
3036,Landline Phone,100,400,5,508,670,3
3037,Radios,450,7,100,510,457,7
3038,Wakie-Talkies,670,3,500,512,234,6
3039,Routers,890,5,50,514,560,4
3040,Modems,670,100,30,516,230,4
3041,Gaming Coonsoles,450,500,5,518,43,6
3042,Music Players,340,50,50,520,104,8
3043,E-readers,750,30,70,522,923,5
3044,Kindle,670,5,20,524,345,3
3045,Projector,340,50,30,526,230,5
3046,Refrigerator,250,70,23,528,456,5
3047,WashingMachine,450,20,700,530,1,7
3048,Dryers,760,30,50,532,23,3
3049,Ovens,160,23,400,534,234,4
3050,Microwaves,2000,700,7,536,45,7
3051,Air Conditioner,450,50,3,538,345,5
3052,Cameras,125,5,5,540,567,2
3053,Drone,500,100,100,542,409,6
3054,Virtual Reality Headsets,300,500,500,544,679,4
3055,Fitness Trackers,400,50,50,546,567,3
3056,Headphones ,500,30,30,548,67,8
3057,Earpods,600,5,5,550,34,3
3058,Blutooth Headphones,700,50,50,552,54,5
3059,Speakers,700,70,70,554,566,6
3060,Power Bank,300,20,20,556,66,7
3061,External Hard Dirves,500,30,30,558,450,4
3062,Printers,500,23,23,560,345,8
3063,Scanners,700,700,700,562,456,3
3064,Proector,500,50,50,564,564,2
3065,Electronic toothbrushes,600,30,50,566,456,5
3066,Pocket cameras,800,23,400,568,563,3
3067,ATM,700,700,7,570,6,7
3068,Sensors,300,50,3,572,12,6
3069,Smartphones,400,50,5,574,67,4
3070,Computer,500,400,100,576,34,4
3071,Laptop,400,7,500,578,57,6
3072,Wacom Tablet ,200,3,50,580,34,8
3073,Bluetooth Speakers,100,5,30,582,120,5
3074,Television,450,100,5,584,330,3
3075,SmartWatches,670,500,50,586,23,5
3076,Tablet,890,50,70,588,34,5
3077,Video Players,670,30,20,590,56,7
3078,Calculators ,450,5,30,592,78,3
3079,Mobile Phones,340,50,23,594,98,4
3080,Telephone,750,70,23,596,90,7
3081,Landline Phone,670,20,700,598,10,5
3082,Radios,340,30,50,600,34,2
3083,Wakie-Talkies,250,23,50,602,20,6
3084,Routers,450,700,400,604,23,4
3085,Modems,760,50,7,606,30,3
3086,Gaming Coonsoles,160,400,3,608,40,8
3087,Music Players,2000,7,5,610,50,3
3088,E-readers,450,3,100,612,55,5
3089,Kindle,125,5,500,614,34,6
3090,Projector,500,100,50,616,45,7
3091,Refrigerator,300,500,30,618,35,4
3092,WashingMachine,400,50,5,620,26,8
3093,Dryers,500,30,50,622,27,3
3094,Ovens,600,5,70,624,28,2
3095,Microwaves,700,50,20,626,49,5
3096,Air Conditioner,700,70,30,628,459,3
3097,Cameras,800,20,23,630,678,7
3098,Drone,300,30,700,632,678,6
3099,Virtual Reality Headsets,500,23,50,634,789,4
3100,Fitness Trackers,500,700,400,636,697,4
3101,Headphones ,700,50,7,638,457,6
3102,Earpods,500,50,3,640,567,8
3103,Blutooth Headphones,600,400,5,642,466,5
3104,Speakers,800,7,100,644,55,3
3105,Power Bank,700,3,500,646,367,5
3106,External Hard Dirves,300,5,50,648,45,5
3107,Printers,400,100,30,650,36,7
3108,Scanners,500,500,5,652,457,3
3109,Proector,400,50,50,654,33,4
3110,Electronic toothbrushes,200,30,70,656,4,7
3111,Pocket cameras,100,5,20,658,5,5
3112,ATM,450,50,30,660,6,2
3113,Sensors,670,70,23,662,7,6
3114,Smartphones,890,20,700,664,67,4
3115,Computer,670,30,50,666,50,3
3116,Laptop,450,23,50,668,67,8
3117,Wacom Tablet ,340,700,400,670,46,3
3118,Bluetooth Speakers,750,50,7,672,235,5
3119,Television,670,400,3,674,670,6
3120,SmartWatches,340,7,5,676,457,7
3121,Tablet,250,3,100,678,234,4
3122,Video Players,450,5,500,680,560,8
3123,Calculators ,760,100,50,682,230,3
3124,Mobile Phones,160,500,30,684,43,2
3125,Telephone,2000,50,5,686,104,5
3126,Landline Phone,450,30,50,688,923,3
3127,Radios,125,5,70,690,345,7
3128,Wakie-Talkies,500,50,20,692,230,6
3129,Routers,300,400,30,694,456,4
3130,Modems,400,7,23,696,1,4
3131,Gaming Coonsoles,500,3,700,698,23,6
3132,Music Players,600,5,50,700,234,8
3133,E-readers,700,100,400,702,45,5
3134,Kindle,700,500,7,704,345,3
3135,Projector,600,50,3,706,567,5
3136,Refrigerator,800,30,5,708,409,5
3137,WashingMachine,600,5,100,710,679,7
3138,Dryers,300,50,500,712,567,3
3139,Ovens,500,70,50,714,67,4
3140,Microwaves,500,20,30,716,34,7
3141,Air Conditioner,700,30,5,718,54,5
3142,Cameras,500,23,50,720,566,2
3143,Drone,600,700,70,722,66,6
3144,Virtual Reality Headsets,800,50,20,724,450,4
3145,Fitness Trackers,700,400,30,726,345,3
3146,Headphones ,300,7,23,728,456,8
3147,Earpods,400,3,700,730,564,3
3148,Blutooth Headphones,500,5,50,732,456,5
3149,Speakers,400,100,50,734,563,6
3150,Power Bank,200,500,400,736,6,7
3151,External Hard Dirves,100,50,7,738,12,4
3152,Printers,450,30,3,740,67,8
3153,Scanners,670,5,5,742,34,3
